Team,#,Pos.,FIFA Popular Name,,Birth Date,Shirt Name,Club,Height,Weight,Age
Portugal,18,FW,GELSON MARTINS,,5/11/1995,GELSON,Sporting CP (POR),173,63,23
Portugal,5,DF,RAPHAEL GUERREIRO,,12/22/1993,RAPHAEL,Borussia Dortmund (GER),170,64,25
Portugal,16,MF,BRUNO FERNANDES,,9/8/1994,B. FERNANDES,Sporting CP (POR),183,64,24
Portugal,11,MF,BERNARDO SILVA,,8/10/1994,BERNARDO,Manchester City FC (ENG),173,65,24
Portugal,19,DF,MARIO RUI,,5/27/1991,MÁRIO RUI,SSC Napoli (ITA),168,67,27
Portugal,21,DF,CEDRIC,,8/31/1991,CÉDRIC,Southampton FC (ENG),172,67,27
Portugal,4,MF,MANUEL FERNANDES,,2/5/1986,M. FERNANDES,FC Lokomotiv Moscow (RUS),174,69,33
Portugal,15,DF,RICARDO,,10/6/1993,RICARDO,FC Porto (POR),174,70,25
Portugal,17,FW,GONCALO GUEDES,,11/29/1996,G. GUEDES,Valencia CF (ESP),179,72,22
Portugal,23,MF,ADRIEN SILVA,,3/15/1989,ADRIEN,Leicester City FC (ENG),176,72,30
Portugal,10,MF,JOAO MARIO,,1/19/1993,J. MÁRIO,West Ham United FC (ENG),179,73,26
Portugal,20,FW,RICARDO QUARESMA,,9/26/1983,QUARESMA,Besiktas JK (TUR),175,73,35
Portugal,9,FW,ANDRE SILVA,,11/6/1995,ANDRÉ SILVA,AC Milan (ITA),184,78,23
Portugal,22,GK,BETO,,5/1/1982,BETO,Goztepe SK (TUR),183,79,36
Portugal,7,FW,CRISTIANO RONALDO,,2/5/1985,RONALDO,Real Madrid CF (ESP),185,80,34
Portugal,14,MF,WILLIAM,,4/7/1992,WILLIAM,Sporting CP (POR),190,80,27
Portugal,3,DF,PEPE,,2/26/1983,PEPE,Besiktas JK (TUR),188,81,36
Portugal,12,GK,ANTHONY LOPES,,10/1/1990,LOPES,Olympique Lyon (FRA),184,81,28
Portugal,2,DF,BRUNO ALVES,,11/27/1981,B. ALVES,Rangers FC (SCO),187,83,37
Portugal,13,DF,RUBEN DIAS,,5/14/1997,RUBEN DIAS,SL Benfica (POR),187,83,21
Portugal,1,GK,RUI PATRICIO,,2/15/1988,RUI PATRICIO,Sporting CP (POR),189,84,31
Portugal,6,DF,JOSE FONTE,,12/22/1983,FONTE,Dalian Yifang FC (CHN),191,84,35
Russia,16,MF,MIRANCHUK Anton,,10/17/1995,MIRANCHUK AN.,FC Lokomotiv Moscow (RUS),182,67,23
Russia,6,MF,CHERYSHEV Denis,,12/26/1990,CHERYSHEV,Villarreal CF (ESP),173,68,28
Russia,17,MF,GOLOVIN Aleksandr,,5/30/1996,GOLOVIN,CSKA Moscow (RUS),178,70,22
Russia,23,DF,SMOLNIKOV Igor,,8/8/1988,SMOLNIKOV,FC Zenit St. Petersburg (RUS),179,72,30
Russia,9,MF,DZAGOEV Alan,,6/17/1990,DZAGOEV,CSKA Moscow (RUS),178,73,28
Russia,7,MF,KUZIAEV Daler,,1/15/1993,KUZIAEV,FC Zenit St. Petersburg (RUS),182,74,26
Russia,19,MF,SAMEDOV Alexander,,7/19/1984,SAMEDOV,FC Spartak Moscow (RUS),178,74,34
Russia,8,MF,GAZINSKY Iury,,7/20/1989,GAZINSKII,FC Krasnodar (RUS),180,75,29
Russia,18,MF,ZHIRKOV Yury,,8/20/1983,ZHIRKOV,FC Zenit St. Petersburg (RUS),180,76,35
Russia,11,MF,ZOBNIN Roman,,2/11/1994,ZOBNIN,FC Spartak Moscow (RUS),185,77,25
Russia,15,MF,MIRANCHUK Alexey,,10/17/1995,MIRANCHUK AL.,FC Lokomotiv Moscow (RUS),185,77,23
Russia,13,DF,KUDRIASHOV Fedor,,4/5/1987,KUDRIASHOV,FC Rubin Kazan (RUS),187,78,32
Russia,2,DF,MARIO FERNANDES,,9/19/1990,FERNANDES,CSKA Moscow (RUS),187,79,28
Russia,10,FW,SMOLOV Fedor,,2/9/1990,SMOLOV,FC Krasnodar (RUS),185,79,29
Russia,21,MF,EROKHIN Aleksandr,,10/13/1989,EROKHIN,FC Zenit St. Petersburg (RUS),191,79,29
Russia,12,GK,LUNEV Andrei,,11/13/1991,LUNEV,FC Zenit St. Petersburg (RUS),189,80,27
Russia,14,DF,GRANAT Vladimir,,5/22/1987,GRANAT,FC Rubin Kazan (RUS),184,80,31
Russia,20,GK,GABULOV Vladimir,,10/19/1983,GABULOV,Club Brugge KV (BEL),190,81,35
Russia,3,DF,KUTEPOV Ilya,,7/29/1993,KUTEPOV,FC Spartak Moscow (RUS),190,82,25
Russia,1,GK,AKINFEEV Igor,,4/8/1986,AKINFEEV,CSKA Moscow (RUS),185,83,33
Russia,4,DF,IGNASHEVICH Sergey,,7/14/1979,IGNASHEVICH,CSKA Moscow (RUS),186,84,39
Russia,5,DF,SEMENOV Andrey,,3/24/1989,SEMENOV,FC Akhmat Grozny (RUS),191,87,30
Russia,22,FW,DZYUBA Artem,,8/22/1988,DZYUBA,FC Arsenal Tula (RUS),196,90,30
Saudi Arabia,6,DF,MOHAMMED ALBURAYK,,9/15/1992,ALBURAYK,Al Hilal SFC (KSA),173,61,26
Saudi Arabia,7,MF,SALMAN ALFARAJ,,8/1/1989,SALMAN,Al Hilal SFC (KSA),179,63,29
Saudi Arabia,8,MF,YAHIA ALSHEHRI,,6/26/1990,YAHIA,CD Leganés (ESP),165,63,28
Saudi Arabia,13,DF,YASIR ALSHAHRANI,,5/25/1992,YASIR,Al Hilal SFC (KSA),170,63,26
Saudi Arabia,19,FW,FAHAD ALMUWALLAD,,9/14/1994,FAHAD,Levante UD (ESP),168,65,24
Saudi Arabia,9,MF,HATAN BAHBIR,,7/16/1992,HATAN,Al Shabab FC (KSA),170,66,26
Saudi Arabia,14,MF,ABDULLAH OTAYF,,8/3/1992,OTAYF,Al Hilal SFC (KSA),177,66,26
Saudi Arabia,15,MF,ABDULLAH ALKHAIBARI,,8/16/1996,ALKHAIBARI,Al Shabab FC (KSA),175,66,22
Saudi Arabia,2,DF,MANSOUR ALHARBI,,10/19/1987,MANSOUR,Al Ahli SC (KSA),173,68,31
Saudi Arabia,18,MF,SALEM ALDAWSARI,,8/19/1991,SALEM,Villarreal CF (ESP),174,68,27
Saudi Arabia,17,MF,TAISEER ALJASSAM,,7/25/1984,TAISEER,Al Ahli SC (KSA),169,69,34
Saudi Arabia,11,MF,ABDULMALEK ALKHAIBRI,,3/13/1986,ABDULMALEK,Al Hilal SFC (KSA),177,73,33
Saudi Arabia,12,MF,MOHAMED KANNO,,9/22/1994,KANNO,Al Hilal SFC (KSA),192,73,24
Saudi Arabia,10,FW,MOHAMMED ALSAHLAWI,,1/10/1987,ALSAHLAWI,Al Nassr FC (KSA),179,75,32
Saudi Arabia,5,DF,OMAR OTHMAN,,9/27/1985,OMAR,Al Nassr FC (KSA),185,76,33
Saudi Arabia,16,MF,HUSSAIN ALMOQAHWI,,3/24/1988,HUSSAIN,Al Ahli SC (KSA),174,76,31
Saudi Arabia,20,FW,MUHANNAD ASIRI,,10/14/1986,MUHANNAD,Al Ahli SC (KSA),185,79,32
Saudi Arabia,22,GK,MOHAMMED ALOWAIS,,10/10/1991,ALOWAIS,Al Ahli SC (KSA),187,79,27
Saudi Arabia,23,DF,MOTAZ HAWSAWI,,2/17/1992,MOTAZ,Al Ahli SC (KSA),180,79,27
Saudi Arabia,3,DF,OSAMA HAWSAWI,,3/31/1984,OSAMA,Al Hilal SFC (KSA),188,83,35
Saudi Arabia,4,DF,ALI ALBULAYHI,,11/21/1989,ALI,Al Hilal SFC (KSA),182,83,29
Saudi Arabia,21,GK,YASSER ALMOSAILEM,,2/27/1984,ALMOSAILEM,Al Ahli SC (KSA),186,88,35
Saudi Arabia,1,GK,ABDULLAH ALMUAIOUF,,1/23/1987,ABDULLAH,Al Hilal SFC (KSA),178,98,32
Senegal,5,MF,GUEYE Idrissa Gana,,9/26/1989,GANA,Everton FC (ENG),174,64,29
Senegal,2,DF,CISS Saliou,,6/15/1989,CISS,Valenciennes FC (FRA),173,69,29
Senegal,10,FW,MANE Sadio,,4/10/1992,MANE,Liverpool FC (ENG),175,69,26
Senegal,18,FW,SARR Ismaila,,2/25/1998,ISMAÏLA,Stade Rennais FC (FRA),175,70,21
Senegal,22,DF,WAGUE Moussa,,10/4/1998,M. WAGUE,KAS Eupen (BEL),177,70,20
Senegal,12,DF,SABALY Youssouf,,3/5/1993,SABALY,FC Girondins Bordeaux (FRA),174,71,26
Senegal,17,MF,NDIAYE Pape Alioune,,10/27/1990,P.A. NDIAYE,Stoke City FC (ENG),181,74,28
Senegal,19,FW,NIANG Mbaye,,12/19/1994,NIANG,Torino FC (ITA),184,74,24
Senegal,21,DF,GASSAMA Lamine,,10/20/1989,GASSAMA,Adanaspor (TUR),181,74,29
Senegal,7,FW,SOW Moussa,,1/19/1986,SOW,Bursaspor (TUR),180,75,33
Senegal,8,MF,KOUYATE Cheikhou,,12/21/1989,C. KOUYATE,West Ham United FC (ENG),189,75,29
Senegal,20,FW,BALDE Keita,,3/8/1995,KEÏTA BALDE,AS Monaco (FRA),181,77,24
Senegal,14,FW,KONATE Moussa,,4/3/1993,KONATE,Amiens SC (FRA),180,78,26
Senegal,1,GK,DIALLO Abdoulaye,,3/30/1992,DIALLO,Stade Rennais FC (FRA),189,79,27
Senegal,15,FW,SAKHO Diafra,,12/24/1989,SAKHO,Stade Rennais FC (FRA),184,79,29
Senegal,13,MF,NDIAYE Alfred,,3/6/1990,A. NDIAYE,Wolverhampton Wanderers FC (ENG),186,80,29
Senegal,16,GK,NDIAYE Khadim,,4/5/1985,KH. NDIAYE,Horoya AC (GUI),185,80,34
Senegal,23,GK,GOMIS Alfred,,9/5/1993,GOMIS,SPAL Ferrara (ITA),196,80,25
Senegal,9,FW,DIOUF Mame,,12/16/1987,M. DIOUF,Stoke City FC (ENG),185,81,31
Senegal,6,MF,SANE Salif,,8/25/1990,S. SANE,Hannover 96 (GER),196,84,28
Senegal,4,DF,MBODJI Kara,,11/22/1989,KARA,RSC Anderlecht (BEL),192,85,29
Senegal,3,DF,KOULIBALY Kalidou,,6/20/1991,KOULIBALY,SSC Napoli (ITA),195,89,27
Senegal,11,MF,NDOYE Cheikh,,3/29/1986,CH. NDOYE,Birmingham City FC (ENG),192,90,33
Serbia,7,MF,ZIVKOVIC Andrija,,7/11/1996,ŽIVKOVIĆ,SL Benfica (POR),169,68,22
Serbia,14,DF,RODIC Milan,,4/2/1991,RODIĆ,FK Crvena Zvezda (SRB),185,69,28
Serbia,2,DF,RUKAVINA Antonio,,1/26/1984,RUKAVINA,Villarreal CF (ESP),177,71,35
Serbia,22,MF,LJAJIC Adem,,9/29/1991,LJAJIĆ,Torino FC (ITA),182,74,27
Serbia,19,FW,JOVIC Luka,,12/23/1997,JOVIĆ,Eintracht Frankfurt (GER),181,75,21
Serbia,10,MF,TADIC Dusan,,11/20/1988,TADIĆ,Southampton FC (ENG),181,76,30
Serbia,18,FW,RADONJIC Nemanja,,2/15/1996,RADONJIĆ,FK Crvena Zvezda (SRB),185,76,23
Serbia,20,MF,MILINKOVIC-SAVIC Sergej,,2/27/1995,SERGEJ,SS Lazio (ITA),192,76,24
Serbia,13,DF,VELJKOVIC Milos,,9/26/1995,VELJKOVIĆ,SV Werder Bremen (GER),188,77,23
Serbia,3,DF,TOSIC Dusko,,1/19/1985,TOŠIĆ,Besiktas JK (TUR),185,79,34
Serbia,4,MF,MILIVOJEVIC Luka,,4/7/1991,MILIVOJEVIĆ,Crystal Palace FC (ENG),186,80,28
Serbia,5,DF,SPAJIC Uros,,2/13/1993,SPAJIĆ,RSC Anderlecht (BEL),188,82,26
Serbia,9,FW,MITROVIC Aleksandar,,9/16/1994,MITROVIĆ,Fulham FC (ENG),189,82,24
Serbia,16,MF,GRUJIC Marko,,4/13/1996,GRUJIĆ,Cardiff City FC (WAL),190,82,22
Serbia,17,MF,KOSTIC Filip,,11/1/1992,KOSTIĆ,Hamburger SV (GER),184,82,26
Serbia,11,DF,KOLAROV Aleksandar,,11/10/1985,KOLAROV,AS Roma (ITA),187,83,33
Serbia,12,GK,RAJKOVIC Predrag,,10/31/1995,RAJKOVIĆ,Maccabi Tel-Aviv FC (ISR),191,85,23
Serbia,21,MF,MATIC Nemanja,,8/1/1988,MATIĆ,Manchester United FC (ENG),194,86,30
Serbia,8,FW,PRIJOVIC Aleksandar,,4/21/1990,PRIJOVIĆ,PAOK FC (GRE),191,88,28
Serbia,6,DF,IVANOVIC Branislav,,2/22/1984,IVANOVIĆ,FC Zenit St. Petersburg (RUS),185,89,35
Serbia,15,DF,MILENKOVIC Nikola,,10/12/1997,MILENKOVIĆ,ACF Fiorentina (ITA),195,90,21
Serbia,23,GK,DMITROVIC Marko,,1/24/1992,DMITROVIĆ,SD Eibar (ESP),194,90,27
Serbia,1,GK,STOJKOVIC Vladimir,,7/28/1983,STOJKOVIĆ,FK Partizan (SRB),195,92,35
Spain,12,DF,ODRIOZOLA Alvaro,,12/14/1995,ODRIOZOLA,Real Sociedad (ESP),178,67,23
Spain,17,FW,ASPAS Iago,,8/1/1987,IAGO ASPAS,Celta Vigo (ESP),176,67,31
Spain,21,FW,SILVA David,,1/8/1986,SILVA,Manchester City FC (ENG),170,67,33
Spain,6,MF,INIESTA Andres,,5/11/1984,A. INIESTA,FC Barcelona (ESP),171,68,34
Spain,18,DF,ALBA Jordi,,3/21/1989,JORDI ALBA,FC Barcelona (ESP),170,68,30
Spain,10,MF,THIAGO,,4/11/1991,THIAGO,FC Bayern München (GER),174,70,27
Spain,11,FW,VAZQUEZ Lucas,,7/1/1991,LUCAS V.,Real Madrid CF (ESP),173,70,27
Spain,1,GK,DE GEA David,,11/7/1990,DE GEA,Manchester United FC (ENG),190,71,28
Spain,9,FW,RODRIGO,,3/6/1991,RODRIGO M.,Valencia CF (ESP),182,72,28
Spain,16,DF,MONREAL Nacho,,2/26/1986,MONREAL,Arsenal FC (ENG),179,72,33
Spain,2,DF,CARVAJAL Dani,,1/11/1992,CARVAJAL,Real Madrid CF (ESP),173,73,27
Spain,8,MF,KOKE,,1/8/1992,KOKE,Atletico Madrid (ESP),176,73,27
Spain,22,MF,ISCO,,4/21/1992,ISCO,Real Madrid CF (ESP),176,74,26
Spain,15,DF,RAMOS Sergio,,3/30/1986,RAMOS,Real Madrid CF (ESP),183,75,33
Spain,7,MF,SAUL,,11/21/1994,SAÚL,Atletico Madrid (ESP),183,76,24
Spain,20,MF,ASENSIO Marco,,1/21/1996,ASENSIO,Real Madrid CF (ESP),182,76,23
Spain,4,DF,NACHO,,1/18/1990,NACHO,Real Madrid CF (ESP),179,77,29
Spain,5,MF,BUSQUETS Sergio,,7/16/1988,SERGIO,FC Barcelona (ESP),189,78,30
Spain,14,DF,AZPILICUETA Cesar,,8/28/1989,AZPILICUETA,Chelsea FC (ENG),178,78,29
Spain,13,GK,ARRIZABALAGA Kepa,,10/3/1994,ARRIZABALAGA,Athletic Bilbao (ESP),189,84,24
Spain,3,DF,PIQUE Gerard,,2/2/1987,PIQUÉ,FC Barcelona (ESP),194,85,32
Spain,19,FW,COSTA Diego,,10/7/1988,DIEGO COSTA,Atletico Madrid (ESP),185,86,30
Spain,23,GK,REINA Pepe,,8/31/1982,REINA,SSC Napoli (ITA),188,92,36
Sweden,21,MF,DURMAZ Jimmy,,3/22/1989,DURMAZ,Toulouse FC (FRA),180,69,30
Sweden,7,MF,LARSSON Sebastian,,6/6/1985,LARSSON,Hull City FC (ENG),178,70,33
Sweden,16,DF,KRAFTH Emil,,8/2/1994,KRAFTH,Bologna FC (ITA),181,72,24
Sweden,15,MF,HILJEMARK Oscar,,6/28/1992,HILJEMARK,Genoa CFC (ITA),184,73,26
Sweden,8,MF,EKDAL Albin,,7/28/1989,EKDAL,Hamburger SV (GER),186,75,29
Sweden,6,DF,AUGUSTINSSON Ludwig,,4/21/1994,AUGUSTINSSON,SV Werder Bremen (GER),181,76,24
Sweden,9,FW,BERG Marcus,,8/17/1986,BERG,Al Ain FC (UAE),183,76,32
Sweden,19,MF,ROHDEN Marcus,,5/11/1991,ROHDÉN,FC Crotone (ITA),182,76,27
Sweden,2,DF,LUSTIG Mikael,,12/13/1986,LUSTIG,Celtic FC (SCO),189,77,32
Sweden,13,MF,SVENSSON Gustav,,2/7/1987,SVENSSON,Seattle Sounders FC (USA),183,77,32
Sweden,10,MF,FORSBERG Emil,,10/23/1991,FORSBERG,RB Leipzig (GER),179,78,27
Sweden,20,FW,TOIVONEN Ola,,7/3/1986,TOIVONEN,Toulouse FC (FRA),192,78,32
Sweden,11,FW,GUIDETTI John,,4/15/1992,GUIDETTI,Deportivo Alavés (ESP),185,79,26
Sweden,17,MF,CLAESSON Viktor,,1/2/1992,CLAESSON,FC Krasnodar (RUS),183,79,27
Sweden,3,DF,LINDELOF Victor,,7/17/1994,LINDELÖF,Manchester United FC (ENG),187,81,24
Sweden,5,DF,OLSSON Martin,,5/17/1988,OLSSON,Swansea City AFC (WAL),177,81,30
Sweden,12,GK,JOHNSSON Karl-Johan,,1/28/1990,JOHNSSON,EA Guingamp (FRA),187,83,29
Sweden,14,DF,HELANDER Filip,,4/22/1993,HELANDER,Bologna FC (ITA),192,83,25
Sweden,22,FW,THELIN Isaac Kiese,,6/24/1992,KIESE THELIN,KV Waasland-Beveren (BEL),189,83,26
Sweden,4,DF,GRANQVIST Andreas,,4/16/1985,GRANQVIST,FC Krasnodar (RUS),192,84,33
Sweden,23,GK,NORDFELDT Kristoffer,,6/23/1989,NORDFELDT,Swansea City AFC (WAL),190,85,29
Sweden,1,GK,OLSEN Robin,,1/8/1990,OLSEN,FC Kobenhavn (DEN),198,89,29
Sweden,18,DF,JANSSON Pontus,,2/13/1991,JANSSON,Leeds United FC (ENG),194,89,28
Switzerland,16,MF,FERNANDES Gelson,,9/2/1986,G. FERNANDES,Eintracht Frankfurt (GER),180,72,32
Switzerland,8,MF,FREULER Remo,,4/15/1992,FREULER,Atalanta Bergamo (ITA),181,75,26
Switzerland,18,FW,GAVRANOVIC Mario,,11/24/1989,GAVRANOVIC,GNK Dinamo Zagreb (CRO),175,75,29
Switzerland,3,DF,MOUBANDJE Francois,,6/21/1990,MOUBANDJE,Toulouse FC (FRA),180,76,28
Switzerland,2,DF,LICHTSTEINER Stephan,,1/16/1984,LICHTSTEINER,Juventus FC (ITA),181,77,35
Switzerland,4,DF,ELVEDI Nico,,9/30/1996,ELVEDI,VfL Borussia Mönchengladbach (GER),187,77,22
Switzerland,15,MF,DZEMAILI Blerim,,4/12/1986,DZEMAILI,Bologna FC (ITA),180,77,32
Switzerland,17,MF,ZAKARIA Denis,,11/20/1996,ZAKARIA,VfL Borussia Mönchengladbach (GER),189,77,22
Switzerland,6,DF,LANG Michael,,2/8/1991,LANG,FC Basel (SUI),185,78,28
Switzerland,11,MF,BEHRAMI Valon,,4/19/1985,BEHRAMI,Udinese Calcio (ITA),184,78,33
Switzerland,19,FW,DRMIC Josip,,8/8/1992,DRMIC,VfL Borussia Mönchengladbach (GER),184,78,26
Switzerland,23,MF,SHAQIRI Xherdan,,10/10/1991,SHAQIRI,Stoke City FC (ENG),165,78,27
Switzerland,13,DF,RODRIGUEZ Ricardo,,8/25/1992,RODRIGUEZ,AC Milan (ITA),180,79,26
Switzerland,14,MF,ZUBER Steven,,8/17/1991,ZUBER,TSG 1899 Hoffenheim (GER),182,79,27
Switzerland,1,GK,SOMMER Yann,,12/17/1988,SOMMER,VfL Borussia Mönchengladbach (GER),183,81,30
Switzerland,10,MF,XHAKA Granit,,9/27/1992,XHAKA,Arsenal FC (ENG),183,82,26
Switzerland,21,GK,BUERKI Roman,,11/14/1990,BÜRKI,Borussia Dortmund (GER),188,83,28
Switzerland,22,DF,SCHAER Fabian,,12/20/1991,SCHÄR,Deportivo La Coruña (ESP),186,83,27
Switzerland,12,GK,MVOGO Yvon,,6/6/1994,MVOGO,RB Leipzig (GER),186,84,24
Switzerland,5,DF,AKANJI Manuel,,7/19/1995,AKANJI,Borussia Dortmund (GER),186,85,23
Switzerland,7,FW,EMBOLO Breel,,2/14/1997,EMBOLO,FC Schalke 04 (GER),184,86,22
Switzerland,9,FW,SEFEROVIC Haris,,2/22/1992,SEFEROVIC,SL Benfica (POR),186,88,27
Switzerland,20,DF,DJOUROU Johan,,1/18/1987,DJOUROU,Antalyaspor AS (TUR),192,90,32
Tunisia,23,FW,SLITI Naim,,7/27/1992,SLITI,Dijon FCO (FRA),173,65,26
Tunisia,17,MF,SKHIRI Ellyes,,5/10/1995,SKHIRI JORIS,Montpellier HSC (FRA),185,69,23
Tunisia,4,DF,MERIAH Yassine,,7/2/1993,MERIAH,CS Sfaxien (TUN),183,70,25
Tunisia,9,MF,BADRI Anice,,9/18/1990,BADRI,ES Tunis (TUN),178,70,28
Tunisia,20,FW,CHAALELI Ghaylen,,2/28/1994,CHAALELI,ES Tunis (TUN),179,70,25
Tunisia,22,GK,HASSEN Mouez,,3/5/1995,HASSEN,LB Chateauroux (FRA),186,70,24
Tunisia,18,FW,SRARFI Bassem,,6/25/1997,SRARFI,OGC Nice (FRA),176,71,21
Tunisia,12,DF,MAALOUL Ali,,1/1/1990,MAALOUL,Al Ahly SC (EGY),170,72,29
Tunisia,19,FW,KHALIFA Saber,,10/14/1986,KHALIFA,Club Africain (TUN),185,72,32
Tunisia,3,DF,BEN ALOUANE Yohan,,3/28/1987,BEN ALOUANE,Leicester City FC (ENG),185,75,32
Tunisia,11,DF,BRONN Dylan,,6/19/1995,BRONN,KAA Gent (BEL),186,75,23
Tunisia,14,MF,BEN AMOR Mohamed,,5/3/1992,BEN AMOR,Al Ahli SC (KSA),180,75,26
Tunisia,15,FW,KHALIL Ahmed,,12/21/1994,KHALIL,Club Africain (TUN),187,75,24
Tunisia,21,DF,NAGUEZ Hamdi,,10/28/1992,NAGUEZ,Zamalek (EGY),186,75,26
Tunisia,5,DF,HADDADI Oussama,,1/28/1992,HADDADI,Dijon FCO (FRA),185,76,27
Tunisia,7,FW,KHAOUI Saifeddine,,4/27/1995,KHAOUI,ES Troyes (FRA),180,76,23
Tunisia,10,FW,KHAZRI Wahbi,,2/8/1991,KHAZRI,Stade Rennais FC (FRA),182,76,28
Tunisia,6,DF,BEDOUI Rami,,1/19/1990,BEDOUI,Étoile du Sahel (TUN),187,77,29
Tunisia,8,FW,BEN YOUSSEF Fakhreddine,,6/23/1991,BEN YOUSSEF .F,Al Ittifaq FC (KSA),189,80,27
Tunisia,13,MF,SASSI Ferjani,,3/18/1992,SASSI,Al Nassr FC (KSA),186,80,27
Tunisia,16,GK,MATHLOUTHI Aymen,,9/14/1984,MATHLOUTHI .A,Al Batin FC (KSA),182,84,34
Tunisia,1,GK,BEN MUSTAPHA Farouk,,7/1/1989,BEN MUSTAPHA,Al Shabab FC (KSA),192,85,29
Tunisia,2,DF,BEN YOUSSEF Syam,,3/31/1989,BEN YOUSSEF .S,Kasimpasa SK (TUR),189,87,30
Uruguay,8,MF,NANDEZ Nahitan,,12/28/1995,NANDEZ,CA Boca Juniors (ARG),171,61,23
Uruguay,14,MF,TORREIRA Lucas,,2/11/1996,TORREIRA,UC Sampdoria (ITA),168,61,23
Uruguay,10,FW,DE ARRASCAETA Giorgian,,6/1/1994,DE ARRASCAETA,Cruzeiro EC (BRA),172,64,24
Uruguay,17,MF,LAXALT Diego,,2/7/1993,LAXALT,Genoa CFC (ITA),178,66,26
Uruguay,20,FW,URRETAVISCAYA Jonathan,,3/19/1990,URRETAVISCAYA,CF Monterrey (MEX),172,66,29
Uruguay,4,DF,VARELA Guillermo,,3/24/1993,VARELA,CA Penarol (URU),173,70,26
Uruguay,3,DF,GODIN Diego,,2/16/1986,GODIN,Atletico Madrid (ESP),185,73,33
Uruguay,6,MF,BENTANCUR Rodrigo,,6/25/1997,BENTANCUR,Juventus FC (ITA),187,73,21
Uruguay,16,DF,PEREIRA Maximiliano,,6/8/1984,M. PEREIRA,FC Porto (POR),173,73,34
Uruguay,1,GK,MUSLERA Fernando,,6/16/1986,MUSLERA,Galatasaray SK (TUR),190,74,32
Uruguay,5,MF,SANCHEZ Carlos,,12/2/1984,SANCHEZ,CF Monterrey (MEX),171,74,34
Uruguay,13,DF,SILVA Gaston,,3/5/1994,G. SILVA,CA Independiente (ARG),185,74,25
Uruguay,22,DF,CACERES Martin,,4/7/1987,CACERES,SS Lazio (ITA),178,75,32
Uruguay,2,DF,GIMENEZ Jose,,1/20/1995,J.M. GIMENEZ,Atletico Madrid (ESP),185,77,24
Uruguay,11,FW,STUANI Cristhian,,10/12/1986,STUANI,Girona FC (ESP),186,78,32
Uruguay,21,FW,CAVANI Edinson,,2/14/1987,CAVANI,Paris Saint-Germain FC (FRA),188,78,32
Uruguay,7,MF,RODRIGUEZ Cristian,,9/30/1985,C. RODRIGUEZ,CA Penarol (URU),178,79,33
Uruguay,12,GK,CAMPANA Martin,,5/29/1989,CAMPAÑA,CA Independiente (ARG),184,79,29
Uruguay,15,MF,VECINO Matias,,8/24/1991,VECINO,FC Internazionale (ITA),189,80,27
Uruguay,23,GK,SILVA Martin,,3/25/1983,M. SILVA,CR Vasco da Gama (BRA),187,82,36
Uruguay,9,FW,SUAREZ Luis,,1/24/1987,SUAREZ,FC Barcelona (ESP),182,85,32
Uruguay,18,FW,GOMEZ Maximiliano,,8/14/1996,M. GOMEZ,Celta Vigo (ESP),186,85,22
Uruguay,19,DF,COATES Sebastian,,10/7/1990,COATES,Sporting CP (POR),196,89,28
